date, pm25, pm10, o3, no2, so2, co
2024/9/8, 68, 33, 46, 12, 2, 5
2024/9/9, 74, 35, 38, 9, 2, 5
2024/9/10, 80, 26, 40, 14, 1, 5
2024/9/11, 60, 29, 38, 18, 2, 6
2024/9/12, 58, 29, 30, 8, 1, 6
2024/9/13, 56, 16, 40, 2, 1, 5
2024/9/14, 37, 20, 36, 6, 1, 5
2024/9/15, 44, 21, 38, 8, 1, 6
2024/9/16, 41, 20, 37, 10, 2, 6
2024/9/17, 36, 18, 34, 13, 1, 6
2024/9/18, 85, 14, 32, 13, 2, 7
2024/9/19, 34, 20, 29, 11, 2, 7
2024/9/20, 145, 24, 42, 3, 2, 7
2024/9/21, 49, 20, 41, 10, 2, 7
2024/9/22, 48, 22, 39, 12, 2, 7
2024/9/23, 46, 26, 41, 14, 2, 8
2024/9/24, 60, 24, 46, 14, 2, 8
2024/9/25, 59, 16, 45, 9, 1, 8
2024/9/26, 51, 17, 45, 10, 2, 8
2024/9/27, 53, 19, 47, 5, 2, 8
2024/9/28, 58, 18, 45, 13, 2, 8
2024/9/29, 57, 20, 38, 12, 2, 8
2024/9/30, 59, 19, 41, 11, 2, 5
2024/4/1, 99, 53, 57, 21, 2, 7
2024/4/2, 98, 49, 38, 13, 1, 6
2024/4/3, 91, 42, 34, 14, 2, 6
2024/4/4, 77, 56, 36, 12, 2, 6
2024/4/5, 90, 39, 46, 3, 2, 5
2024/4/6, 65, 28, 49, 9, 1, 6
2024/4/7, 62, 32, 45, 12, 2, 5
2024/4/8, 70, 25, 46, 12, 2, 5
2024/4/9, 60, 17, 45, 6, 1, 5
2024/4/10, 43, 21, 43, 10, 1, 6
2024/4/11, 51, 26, 41, 11, 1, 6
2024/4/12, 68, 18, 39, 5, 1, 5
2024/4/13, 55, 18, 44, 8, 1, 6
2024/4/14, 54, 24, 39, 12, 1, 6
2024/4/15, 63, 28, 44, 18, 2, 7
2024/4/16, 66, 44, 54, 31, 2, 8
2024/4/17, 84, 103, 41, 12, 1, 6
2024/4/18, 131, 93, 38, 7, 1, 5
2024/4/19, 115, 36, 35, 5, 2, 5
2024/4/20, 62, 28, 42, 9, 1, 5
2024/4/21, 54, 24, 42, 12, 2, 6
2024/4/22, 48, 27, 49, 13, 1, 7
2024/4/23, 50, 60, 42, 27, 3, 6
2024/4/24, 95, 81, 45, 22, 2, 4
2024/4/25, 139, 72, 45, 4, 1, 4
2024/4/26, 130, 49, 44, 2, 1, 4
2024/4/27, 76, 42, 43, 5, 1, 5
2024/4/28, 67, 32, 45, 2, 1, 4
2024/4/29, 63, 30, 47, 10, 1, 5
2024/4/30, 66, 32, 40, 9, 1, 4
2024/5/1, 71, 35, 43, 6, 2, 5
2024/5/2, 70, 27, 38, 5, 2, 
2024/5/3, 60, 27, 45, 2, 2, 
2024/5/4, 56, 30, 43, 8, 1, 5
2024/5/5, 53, 22, 44, 6, 1, 5
2024/5/6, 39, 19, 43, 9, 1, 5
2024/5/7, 47, 21, 40, 15, 1, 5
2024/5/8, 52, 30, 60, 24, 2, 7
2024/5/9, 57, 50, 58, 27, 2, 8
2024/5/10, 81, 86, 59, 4, 1, 5
2024/5/11, 106, 65, 46, 6, 1, 5
2024/5/12, 77, 25, 45, 4, 1, 5
2024/5/13, 53, 26, 45, 3, 2, 5
2024/5/14, 56, 24, 41, 10, 2, 5
2024/5/15, 56, 21, 41, 9, 1, 5
2024/5/16, 51, 21, 37, 11, 1, 6
2024/5/17, 55, 20, 39, 9, 2, 6
2024/5/18, 53, 32, 39, 16, 2, 6
2024/5/19, 61, 55, 55, 18, 1, 6
2024/5/20, 87, 74, 48, 6, 1, 6
2024/5/21, 117, 59, 35, 13, 1, 6
2024/5/22, 96, 60, 39, 11, 1, 6
2024/5/23, 108, 52, 46, 3, 1, 5
2024/5/24, 81, 29, 50, 2, 2, 5
2024/5/25, 55, 29, 46, 8, 1, 6
2024/5/26, 60, 47, 44, 18, 2, 6
2024/5/27, 77, 54, 40, 8, 1, 5
2024/5/28, 68, 12, 39, 8, 1, 5
2024/5/29, 54, 32, 42, 8, 1, 5
2024/5/30, 56, 22, 40, 9, 2, 5
2024/5/31, 52, 19, 32, 7, 2, 5
2024/6/1, 50, 20, 37, 10, 2, 6
2024/6/2, 51, 29, 48, 9, 1, 6
2024/6/3, 68, 26, 40, 9, 1, 6
2024/6/4, 64, 28, 37, 12, 1, 6
2024/6/5, 71, 30, 32, 10, 2, 6
2024/6/6, 72, 30, 40, 11, 1, 6
2024/6/7, 72, 41, 38, 3, 1, 5
2024/6/8, 82, 41, 47, 7, 1, 5
2024/6/9, 74, 39, 41, 8, 1, 5
2024/6/10, 74, 26, 39, 6, 1, 5
